attr,price,title,link,postbody,location,postdate
"
           1991 MERCEDES-BENZ 300SE
   
           VIN: WDBCA24D2MA570356
           condition: like new
           drive: fwd
           fuel: gas
           odometer: 238695
           paint color: black
           title status: clean
           transmission: automatic
   ",6000,1991 Mercedes-Benz all original parts,http://sfbay.craigslist.org//sfc/cto/5812879274.html,"
Hi there, 
Im selling my all original 1991 Mercedes-Benz because I'm a college student with no job, and I can't afford to pay insurance each month and it makes more sense for me to just catch bart. :( I am the third owner and I invested a lot into this car. Brand new tires, brand new seat covers (not that those matter because the leather is pretty nice anyways). Just got the oil changed, fixed the vacuum hose, all that good stuff because I had been planning to drive it across country. It runs like a top. No problems. It's been well maintained. And although 238,695 miles sounds like a lot, ask ANY mechanic and they will tell you these Mercedes will run forever. I get compliments on my car everywhere I go. In traffic, parking it, etc. The registration is good till Jan 2017. The title is clean. It comes with the spare tire, manual, all that. Actually, I even know the previous owner personally, and he has all the original tires if you want those as well (although it is on rims). If you want a bling ride this is the ride for you. It's luxury everything. You can fit 5 people comfortably. It's not like these new cars where everyone has to be all tight together. It has the sun roof, huge truck. If you are interested and serious buyers only please, feel free to email me or call me 
 show contact info
 and we can arrange a time for you to come by and see the car. Test drive with cash in hand and C license. Cheers! Cordelia    ", (bernal heights),2016-10-04T11:59:32-0700
"
           2001 acura tl
   
           condition: good
           cylinders: 6 cylinders
           fuel: gas
           title status: clean
           transmission: automatic
   ",2800,2001 ACURA TL,http://sfbay.craigslist.org//sfc/cto/5795769513.html,"
UP FOR SALE MY DAILY DRIVE 2001 ACURA TL. RUNS GREAT NO ISSUE. ONLY PROBLEM IS  PASSENGER WINDOW NOT WORKING. CLEAN TITLE NEVER BEEN IN ACCIDENT. 177XXX MILE STILL GOING UP AS MY DAILY DRIVE. NEW BRAKE ALSO NEW TRANSMISSION 5K MILE AGO WITH PAPER WORK. EXTERIOR 9/10 INTERIOR 8/10. PASS SMOG IN MAY-2016 WITH PAPER BUT NEED TO SMOG AGAIN BECAUSE WENT PASS 90 DAYS. THIS CAR IS VERY RELIABLE GET ME TO POINT A TO Z. SELLING BECAUSE IM LOOKING TO BUY A NEW CAR. PLEASE GIVE ME A CALL IF YOU HAVE ANY QUESTION





KEYWORD; 2001, ACURA, TL, CLEAN TITLE, CLEAN, ELK GROVE, TSX, RL, ILX, TLX, 4DOOR, WHITE, 3.2 L.    ", (elk grove),2016-09-23T11:52:38-0700
"
           2006 kia optima lx
   
           condition: excellent
           cylinders: 4 cylinders
           drive: fwd
           fuel: gas
           title status: clean
           transmission: automatic
   ","
  
    
    hide this posting
  
  
    
    unhide
  
",vbcvhgdfg,http://sfbay.craigslist.org//sfc/cto/5812745289.html,"
KIA Optima LX, 107k miles.  4 cylinder engine
 Automatic, 4 cylinder, great on gas - 30 mpg. 
 Clean title, just had it smogged. 
 Runs great, everything works. pass smog
 Power windows, door locks, CD player with AUX hook up for iPod/phone.
 Car is clean inside and out. Good tires. nice brakes, great on gas 
    ", (portola district),2016-10-04T10:50:31-0700
"
           2015 Chrysler 200 Limited
   
           condition: like new
           cylinders: 4 cylinders
           drive: 4wd
           fuel: gas
           odometer: 11000
           paint color: grey
           size: compact
           title status: salvage
           transmission: automatic
           type: sedan
   ",8900,Oportunidad 2015 Chrysler 200 Limited super lux,http://sfbay.craigslist.org//sfc/cto/5780870962.html,"
2015 Chrysler 200 Limited, 2.4L / Excellent condition  11,000 miles on it, salvage title  rear bumper broken I have pictures to proved ,nothing serious, fixer professionally in an auto body shop, you need replaced the front  seat belts ,automatic transmission,sliding glass sunroof,dual power seat,dynamic stabiliry control,active break Booster, electronic parking brakes,remote entry security sistem,toch screen lcd,xirius satellite radio,rear camera,effortless to accelerate to zero to 60 in 6.3 second, considered to be more fun to drive than most cars in the car's luxury class,the interior is beatifull,if you are looking for a nice and confortable daily drive that has performance and luxurious characteristics.
Hola ,estoy vendiendo mi 2015 chrysler 200 limited,  2.4l, con solo 11 mil millas,buenas  condiciones, automatico,todo electronico,no usas la llave para abrir las puertas ni para encenderlo,pantalla tactil con xirius satelite radio,camara de reversa,titulo salvage por un golpe el el bumper trasero tengo fotos q comprueban, nada serio y fue arreglado en un taller profesionalmente, solo necesitas cambiar los cinturones de seguridad,  si tu buscas eficiencia en gas,aceleracion y lujo,este es el carro ideal para ti, el precio es firme, gracias    ", (richmond / seacliff),2016-09-13T23:18:03-0700
"
           2013 ford fusion titanium
   
           fuel: gas
           odometer: 26332
           title status: salvage
           transmission: automatic
   ",15499,2013 Ford Fusion Titanium Model  Fully Loaded,http://sfbay.craigslist.org//sfc/cto/5809014588.html,"
For sale is my 2013 Ford Fusion titanium, 2.0 L ecoboost with 26k miles. its a fully loaded model that comes with navigation, self park assist, steering assist, keyless entry, remote engine start, brake assist, bumper sensors front and back, back up camera, leather interior, heated seats, bluetooth/aux/satellite radio, 19"" OEM sport rims, brand new 2 front tires, spoiler, dual exhaust and much much much more. it had a  side damage. can send pix upon request of the damage. feel free to bring your mechanic to inspect at your own cost. this fusion is registered, smoged and have title on hand. this is a private party sale. 
 if interested call or text at 916 770761nine.

thank you for looking    ", (sac),2016-10-01T23:32:04-0700
"
           1967 Chevy swb
   
           condition: new
           cylinders: 8 cylinders
           fuel: gas
           title status: clean
           transmission: manual
   ",9900,___ 1967 CHEVY C10 *REAL SHORT WIDE* __  #'s matching 327 v8 __ 4 Spd,http://sfbay.craigslist.org//sfc/cto/5812758475.html,"
have a 1967 chevy c10 , real factory short wide bed. (NOT a long bed cut to short, like most). With numbers matching motor and transmission. Thousands invested in suspension underneath. This is a great truck, runs and drives amazing!

Beefy 327 v8 (#'s matching)
BRAND NEW Muncie 4 speed rock crusher trans.
411 POSI rear end
All new suspension
Lowered
Power disk brakes
New a arms, drop spindles
Brand new rims
New flowmaster exhaust
Fresh interior
New lights
New door windows
Newer exhaust
Fresh tune up, and timing
New front bumper and rear roll pan
Lots of new parts
I'm sure there is alot more in forgetting...

CLEAN TITLE
RUNS AND DRIVES AMAZING


 show contact info


 show contact info



This is a very nice truck and a blast to drive. I get thumbs up and people staring everywhere I go.

*** Only asking $10500 obo or trade trades
This is a great deal for a real swb, 4spd, numbers matching truck




Keywords: Chevy Chevrolet plymouth truck pickup lowered lift lifted swb c10 c20 short bed long bed lwb 1967 67 1968 68 1969 69 1970 70 1971 71 1972 72 gmc chevelle nova duster mustang    ", (downtown / civic / van ness),2016-10-04T10:57:13-0700
"
           2002 Ford F-150
   
           cylinders: 8 cylinders
           fuel: gas
           odometer: 162000
           title status: clean
           transmission: automatic
           type: truck
   ",4500,2002 FORD F-150 TRITON V8,http://sfbay.craigslist.org//sfc/cto/5800179143.html,"
I'm selling my 2002 Ford F-150 truck with 162,000 Miles with Current Registration and Current Smog. This truck runs very good with no issues at all, im just selling it because i just bought a newer truck. It does have its bumps and bruises but nothing major. I'm asking $4500. If interested message me or call me at 
 show contact info
 

Hablo Español 
    ", (Stockton),2016-09-26T11:24:25-0700
"
           2003 runs perfectly
   
           fuel: gas
           title status: clean
           transmission: automatic
   ",1500,Toyota Corolla 2003runs perfectly,http://sfbay.craigslist.org//sfc/cto/5812797685.html,"
clean interior/exterior, runs perfectly smooth, tires, brakes & rotors in great condition, includes AUX for entertainment, good car for commuting    ",,2016-10-04T11:17:36-0700
"
           2005 Dodge Quad Cab 2WD
   
           condition: excellent
           cylinders: 8 cylinders
           fuel: gas
           odometer: 150000
           title status: clean
           transmission: automatic
           type: truck
   ",7400,05 DODGE QUAD CAB VERY WELL MAINTAIN,http://sfbay.craigslist.org//sfc/cto/5790655664.html,"
Hi I'm selling my 2005 2wd Dodge Ram SLT Quad Cab V8 4.7 Liter clean title with 150,000 miles. This truck runs very good with no issues at all. It has always been service on time especially since my job pays for everything. It does have its bumps and bruises like seen in the pictures since i use it for work but it's nothing major and it just needs a good detail but it's not trash or filthy, other than that it is a good running truck. If interested or have any questions fell free to message me or call me at 
 show contact info
 


Hablo EspaÃ±ol 

CASH ONLY
NO CHECKS
NO TRADES
NO PAY PAL    ", (Stockton),2016-09-20T10:01:25-0700
"
           2010 ` Malibu
   
           fuel: gas
           title status: clean
           transmission: automatic
   ",2000,best10 Chevy Malibu wylc,http://sfbay.craigslist.org//sfc/cto/5812798534.html,"
Electronic Stability Control
Power Locks
Tachometer
vaxwr

paigecla25@gmail.com
    ", (SF bay area),2016-10-04T11:17:59-0700
