postbody,title_status,cylinders,attr,title,price,vin,drive,odometer,postdate,link,location,fuel,paint_color,condition,size
"
Fx4 if needed, entertainment system, surround sound system, 5disc changer, mp plug 4x4 22' wheels, automatic keyless entry, windows, all auto, locks, alarm, textured bed, smoged service records available    ",,,,ntertainme2004 Ford F150 King Ranch,2500,,,,2016-10-04T16:13:40-0700,http://sfbay.craigslist.org//sfc/cto/5813303265.html,,,,,
"
I'm selling my 2000 Toyota Camry, clean title with 155000 miles. In a perfect mechanical condition.
clean title, smoged
It has some dents on hood and bumper.
asking $3600, no low balling please.
    ",,,,2000 Toyota Camry,3499,,,,2016-09-10T14:43:26-0700,http://sfbay.craigslist.org//sfc/cto/5775946614.html, (modesto),,,,
"
I have nick-named my 2010 Saab 9-3 Ioreck. 

Iorek (pronounced ""yore-eck"") originally hails from Albuquerque, New Mexico. I flew out to the land of enchantment and drove Iorek home. I am the second owner. His first owner was a family of Saab enthusiasts and had named him Max. I renamed him Iorek, after the character of Iorek Byrnison in Philip Pullman's book the Golden Compass. If you've read the book or seen the movie, you may remember the scene where the armoured polar bear Iorek asks the main character Lyra, ""Do you wish to ride me?""

Oh how you will wish to ride Iorek, the car. He's a Saab 9-3 Aero with all-wheel drive and a six-speed manual transmission.  The combination of a 6-speed manual with XWD is rare for a Saab -- and indeed pretty rare in general. The engine is a 4-cylinder turbo and takes premium (""super"") gasoline only. (Mid-grade or regular grade doesn't have enough octane to quench Iorek's thirst for power.)

Inside, Iorek has black leather seats, satellite radio, and blue-tooth. There are power seats, power door locks, a moonroof, cruise control, and tinted windows. Oh, here's something neat. The side mirror on the passenger side -- there's a button you can press to angle the mirror just a bit down. It's perfect for parallel parking, so you can see the curb along the passenger side of the car.

Iorek is painted Glacier Silver -- a quirky aqua blue. 

Iorek particularly loves road trips and curvy roads. We've been to Route 66, Yosemite, Vegas, Crater Lake, Jedediah Smith Redwoods state park, Highway 9, and Mount Diablo. By far, Iorek's favorite road trip is going up the Mendocino coast to visit the Westport Whale -- the curvy coastal highways make the manual XWD engine purr. (Polar bears can purr, cannot they?)

Like any polar bear, Iorek is ready for the snow. He has Continental Extreme Contact DWS all season tires. And there's a Saab-specific roof rack, and the seats in the back have a little cubby hole where you can stick your skies through. The car is not equipped with chains.

Oh oh oh, I almost forgot. Saabs are delightfully quirky. Here are three quirky things you must know:

First, the ignition key goes in the center console, right by the emergency brake. 

Second, press the cup holder button (below the radio and above the temperature controls) to make it flip out.

Third, in order to shift into Reverse, you will need to ""lift up"" a latch circumscribing the gear shaft. (Basically, if you have your hand gripping the gear shift as normally with your right hand parallel to the ground, then you simply rotate your hand 90 degrees downward, and use your fingers to grab and lift up the latch that surrounds the shaft. While lifting, shift to the left and up, release the latch, and you are now in reverse. Practice this several times before your test drive. I can show you how to do this in person.)

It is now time for Iorek to move on to his next adventure. He deserves a loving home with new owners who will pamper Iorek and take him on plenty of road trips.    ",,,,2010 Saab 9-3 Aero XWD 6-speed Manual *RARE*,18250,,,,2016-10-04T14:24:59-0700,http://sfbay.craigslist.org//sfc/cto/5813139332.html,,,,,
"
Selling a 2008 Lexus rx350 that only has 72k miles. Car runs great,no engine or transmission issues. Body is in good shape besides some minor things there and here from normal everyday use. Interior is black and light grey, seats and interior are super clean, very well taken care off. 
recently changed oil, replaced all rotors as well

I also have all pictures of damages when car was salvaged, was pretty minor,no frame damage, no airbags deployed, replaced hood radiator and bumper. If interested feel free to call or text 
 show contact info
me for more info
    ",,,,2008 Lexus RX350 rx350 74k miles,11000,,,,2016-10-04T13:06:49-0700,http://sfbay.craigslist.org//sfc/cto/5813004597.html, (sacramento),,,,
"
71 C10 short bed pu w/68 front end, body off restoration super clean drives great. 350 V8 Edelbock intake and 600 Edelbrock carb, W/ 350 auto, all new interior/new 300 Watt am/fm radio, new Avital alarm system w/pager, new heating and air controls both heater and air just gone through works great. new flow masters exhaust, new 17 "" tires w/American racing torque thrust wheels, 12 Bolt rear end, front disk breaks new front and back bumpers front has custom fog lights. clean pink in my name just tag in Aug. must see. truck worth every penny.           Price is firm don't even ask Call Cris.    ",,,,1971 chevy truck C10,15000,,,,2016-09-11T13:39:29-0700,http://sfbay.craigslist.org//sfc/cto/5777150564.html, (nob hill),,,,
"
Hello have a 2012 Honda Civic Lx with only 50k miles, clean inside and out tags are good till October 2017, everything works perfect nothing wrong with it. Non smoker want 8,000 If interested call or text me at 
 show contact info
    ",,,,2012 HONDA CIVIC LX,8000,,,,2016-09-16T16:06:59-0700,http://sfbay.craigslist.org//sfc/cto/5785153416.html, (Sacramento),,,,
"
Hello have a 2015 Hyundai Genesis coupe pearl white, only 7k miles very good condition inside and out , like a brand new car, non smoker , car has been lowered, comes with dual exhaust system nice and loud sound, it is a R-Spec addition , comes with brembo brake system, car is registered and ready to go ,tags good till next year, have title in hand. If interested call or text me at 
 show contact info

Features, 3.8L V-6 Engine
6-spd man ,Horsepower 348 ,Rear-wheel Drive , ABS and driveline Traction control, 19"" silver aluminum Wheels, Front air conditioning, manual ,SiriusXM AM/FM/Satellite, seek-scan Radio
Keyfob (all doors) Remote keyless entry, Front Fog/driving lights
Heated mirrors, Leather seats    ",,,,2015 Hyundai Genesis R-Spec 3.8 Coupe *7k Miles*,16000,,,,2016-09-20T12:08:03-0700,http://sfbay.craigslist.org//sfc/cto/5790900944.html, (Sacramento),,,,
"
Estoy vendiendo my jeep cheroke porque no tengo espacio donde guardarlo. Corre muy bien, tengo el smog listo pido 1800 o mejor oferta. es 4x4. 
 show contact info
.    ",,,,Jeep,1800,,,,2016-10-04T14:38:53-0700,http://sfbay.craigslist.org//sfc/cto/5813162043.html, (richmond / seacliff),,,,
"
good engine.
Steven 
 show contact info
    ",,,,Nissan Altima,2495,,,,2016-10-04T15:02:44-0700,http://sfbay.craigslist.org//sfc/cto/5813200165.html, (Cow Palace),,,,
"
Toyota Prius hybrid 2005 186k AUX Smart key

Salvage title due Minor dent on the trunk

2017 registration 

New tires

The car runs great!!

Hybrid battery was replaced at 151k

Car comes with 6 month warranty on hybrid battery

48 mpg


 show contact info
cell $4600


Toyota Prius hybrid Honda Civic hybrid    ",,,,Toyota Prius hybrid 2005 Smart key,4600,,,,2016-09-06T12:41:53-0700,http://sfbay.craigslist.org//sfc/cto/5769044472.html, (Vacaville),,,,
